ItemCode,ItemName,LastPurDat,ItmsGrpCod,ItmsGrpNam,Categoria_CI,Subcategoria_CI,Bodega,Stock_Bodega,Precio_B2B_Estandar,Precio_B2B_VIP,Precio_B2C,Precio_Promociones_Ecommerce,Ventas_2024,Ventas_2025,Ventas_2026,Ventas_Total_29_5_Meses,Alcance_Inventario_Meses,Alcance_Inventario_Meses_Redondeado
US2:FXD63B200L,"Interruptor FD 3P, 200 A, 600 V, 22 kA, FX terminales mit",2025-10-13,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,INTERRUPTORES INDUSTRIALES,11,1.0,503.2,475.3,559.1,0.0,2.0,1.0,0.0,3.0,9.833333333333332,10
3RU21264BB0,"Rele de sobrecarga 14...20 A termico para proteccion de motores tamano S0, clase 10 para montar en contactor Circuito principal: atornillable circuito auxiliar: atornillable Rearme",2025-10-08,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,RELES DE PROTECCION,11,1.0,46.8,44.2,52.0,0.0,5.0,3.0,0.0,8.0,3.6875,4
US2:JXD63B300,"Interruptor JD 3P, 300 A, 600 V 25kA FX NL",2025-10-08,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,INTERRUPTORES INDUSTRIALES,11,1.0,971.4,917.4,1079.3,0.0,1.0,1.0,1.0,3.0,9.833333333333332,10
US2:TA2J6500,Interruptor JD/LD terminales Al/Cu 500 kcmil,2025-10-08,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,INTERRUPTORES INDUSTRIALES,11,18.0,27.8,26.2,30.8,0.0,74.0,45.0,0.0,119.0,4.46218487394958,4
3RP25741NW30,"relé temporizador, electrónico con función estrella-triángulo 1NA instantáneo 1NA retardado 1 rango de tiempo, 1...20 s AC/DC 12-240 V con AC 50/60 Hz borne de tornillo",2025-10-06,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,OTROS,11,2.0,87.0,82.2,96.7,0.0,0.0,3.0,0.0,3.0,19.666666666666664,20
3RT20241AK60,"contactor de potencia, AC-3e/AC-3, 12 A, 5,5 kW/400 V, tripolar, 110 V AC, 50 Hz/120 V, 60 Hz, contactos auxiliares: 1 NA + 1 NC, borne de tornillo, tamano: S0",2025-10-06,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,CONTACTORES,11,5.0,44.0,41.6,48.9,0.0,8.0,4.0,0.0,12.0,12.291666666666668,12
6ES72231PH320XB0,"SIMATIC S7-1200, E/S digitales SM 1223, 8 DI/8 DO, 8 DI DC 24V, Sink/Source, 8 DO, rele 2 A",2025-10-06,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,"PLC, LOGOS & MODULOS",11,1.0,260.1,245.7,289.0,0.0,0.0,0.0,1.0,1.0,29.5,30
Q2100,BREAKER 100A 2P 240V,2025-10-06,105,EQUI.AUTO.Y CONTROL,,,11,58.0,20.0,18.9,22.0,0.0,0.0,2.0,0.0,2.0,855.5,856
Q240,BREAKER 40A 2P,2025-10-06,105,EQUI.AUTO.Y CONTROL,,,15,105.0,10.5,9.45,13.0,6.5,0.0,4.0,0.0,4.0,774.375,774
8UD17310AC21,DISYUNTOR 3VA Maneta PARA 3VA63/4 GRIS ESTÁNDAR CON FUNCIÓN DE APERTURA DE PUERTA PLACA DE ENMASCARAMIENTO INCLUIDA CON COMPENSACIÓN DE TOLERANCIA,2025-09-29,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,OTROS,11,1.0,61.15,57.75,96.0,0.0,0.0,0.0,0.0,0.0,inf,Infinito
3RH21221AP00,"contactor auxiliar, 2 NA + 2 NC, 230 V AC, 50/60 Hz, bornes de tornillo, tamaño S00",2025-09-26,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,CONTACTORES,11,11.0,43.3,40.9,48.1,0.0,7.0,6.0,0.0,13.0,24.96153846153846,25
6ES72314HD320XB0,"SIMATIC S7-1200, modulo de entradas analogicas, SM 1231, 4 AI, +/-10V, +/-5V, +/-2,5V, o 0-20 mA/4-20 mA, 12 bits + signo (13 bits ADC)",2025-09-26,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,"PLC, LOGOS & MODULOS",11,4.0,332.4,313.9,369.3,0.0,7.0,4.0,0.0,11.0,10.727272727272728,11
6ES72324HD320XB0,"SIMATIC S7-1200, Salida analógica, SM 1232, 4 AO, +/-10V, Resolución de 14 bits, o 0-20 mA/4-20 mA, Resolución de 13 bits",2025-09-26,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,"PLC, LOGOS & MODULOS",11,3.0,545.2,514.9,605.8,0.0,4.0,4.0,0.0,8.0,11.0625,11
US2:CQD280,Interruptor CQD 2P 80 A 480/277V 14 kA DIN,2025-09-19,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,INTERRUPTORES INDUSTRIALES,15,1.0,90.0,85.0,100.0,0.0,0.0,1.0,1.0,2.0,14.75,15
6ED10521MD080BA2,"LOGO! 12/24RCE, módulo lógico, displ. FA/E/S: 12/DC 24 V/relé, 8 DI (4 AI)/4 DO, mem. 400 bloques, modularmente ampliable, Ethernet, servidor web integrado, Datalog, variantes personalizadas",2025-09-17,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,"PLC, LOGOS & MODULOS",11,22.0,178.2,168.3,198.0,0.0,3.0,36.0,6.0,45.0,14.422222222222222,14
6XV1830ET50,"PROFIBUS FC Standard, cable de bus 2 hilos, apantallado, configuración especial para montaje rápido 500 m.",2025-09-17,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,OTROS,11,5.0,0.0,0.0,0.0,0.0,100.0,4.0,0.0,104.0,1.4182692307692308,1
MX:B350,"Siemens Low Voltage, var. moldeada, caja de interruptores automaticos. Montaje en tablero de distribucion, 240 V Interruptores automaticos, tipo BL, 3 polos, 240 V AC son circuitos, proteccion;",2025-09-16,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,CENTROS DE CARGA E INTERRUPTORES,11,11.0,39.1,36.9,43.4,0.0,13.0,1.0,0.0,14.0,23.178571428571427,23
3NA3820,"cartucho de fusibles NH, NH000, Entrada: 50 A, gG, Un AC: 500 V, Un DC: 250 V, indicador de fusion superior, orejetas energizadas",2025-09-09,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,FUSIBLES,11,5.0,9.3,8.8,10.4,0.0,52.0,18.0,14.0,84.0,1.755952380952381,2
3RP25051AW30,"rele temporizador, multifuncion 1 conmutado, 13 funciones 7 rangos de tiempo (0,05 s...100 h) AC/DC 12...240 V con AC 50/60 Hz con LED, borne de tornillo",2025-09-09,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,OTROS,11,3.0,143.4,135.4,159.3,0.0,13.0,10.0,4.0,27.0,3.2777777777777777,3
3NA3822,"cartucho de fusibles NH, NH000, Entrada: 63 A, gG, Un AC: 500 V, Un DC: 250 V, indicador de fusion superior, orejetas energizadas",2025-09-02,105,EQUI.AUTO.Y CONTROL,EQUIPO ELECTRICO & AUTOMATIZACION,FUSIBLES,11,13.0,9.4,8.8,10.4,0.0,18.0,23.0,0.0,41.0,9.353658536585366,9
